ESPECIE	LONGITUD	LATITUD
acutifolia	-103.75000000	19.31666667
acutifolia	-101.87666667	19.51277778
acutifolia	-100.33333333	19.34166667
acutifolia	-100.16666667	17.46666667
acutifolia	-100.16666667	19.85000000
acutifolia	-100.10000000	19.21666667
acutifolia	-98.93333333	17.55000000
acutifolia	-98.59000000	20.63944444
acutifolia	-98.21666667	20.33333333
acutifolia	-97.66666667	17.26666667
acutifolia	-96.96666667	19.48333333
acutifolia	-96.96666667	19.52500000
acutifolia	-96.95000000	19.56666667
acutifolia	-96.95000000	19.61666667
acutifolia	-96.94333333	19.51250000
acutifolia	-96.94277778	19.51083333
acutifolia	-96.92500000	19.53500000
acutifolia	-96.91666667	19.53333333
acutifolia	-96.85000000	19.68333333
acutifolia	-96.81666667	19.65000000
acutifolia	-96.55000000	17.53333333
acutifolia	-102.36333333	19.33666667
acutifolia	-101.98000000	19.59500000
acutifolia	-101.73666667	19.67166667
acutifolia	-101.66500000	19.44166667
acutifolia	-101.53666667	19.40000000
acutifolia	-100.85722222	19.71694444
acutifolia	-100.85333333	19.67500000
acutifolia	-100.82833333	19.70000000
acutifolia	-100.82694444	19.85833333
acutifolia	-100.64166667	19.78166667
acutifolia	-100.39166667	19.84333333
acutifolia	-99.22166667	19.71500000
acutifolia	-99.02333333	19.19333333
acutifolia	-98.91000000	19.53333333
acutifolia	-98.90500000	19.44166667
acutifolia	-98.89833333	19.47500000
acutifolia	-98.88333333	19.43833333
acutifolia	-98.85833333	19.56333333
acutifolia	-98.82166667	19.47666667
acutifolia	-98.76166667	19.51666667
acutifolia	-98.73666667	20.12333333
acutifolia	-98.55166667	19.78500000
acutifolia	-97.63666667	19.40833333
acutifolia	-96.31666667	16.58333333
acutifolia	-97.73333333	17.35000000
acutifolia	-96.98333333	19.40000000
acutifolia	-96.94611111	19.59027778
acutifolia	-96.93333333	19.53333333
acutifolia	-96.78333333	17.26666667
acutifolia	-96.95944444	19.20944444
acutifolia	-96.25000000	17.08333333
acutifolia	-96.81666667	18.05000000
acutifolia	-97.00000000	16.45000000
acutifolia	-97.01666667	19.33333333
acutifolia	-97.00666667	19.08277778
acutifolia	-98.70000000	20.73333333
acutifolia	-98.66555556	20.72888889
acutifolia	-98.57500000	20.65055556
acutifolia	-98.98333333	17.58333333
acutifolia	-98.94416667	17.56861111
acutifolia	-98.88194444	19.50555556
acutifolia	-98.38333333	17.46666667
acutifolia	-98.35000000	17.46666667
acutifolia	-98.38333333	17.36666667
acutifolia	-98.33333333	17.36666667
acutifolia	-99.83333333	17.65000000
acutifolia	-99.83333333	17.61666667
acutifolia	-99.39777778	17.56694444
acutifolia	-99.27694444	17.55833333
acutifolia	-99.23888889	17.55944444
acutifolia	-99.71666667	18.53333333
acutifolia	-99.67777778	17.51166667
acutifolia	-99.70000000	17.26666667
acutifolia	-100.11166667	19.20444444
acutifolia	-101.85000000	19.46666667
acutifolia	-101.78333333	19.45000000
acutifolia	-103.78333333	19.43333333
acutifolia	-103.03333333	18.40000000
acutifolia	-103.92972222	20.08361111
acutifolia	-104.56666667	19.88333333
acutifolia	-103.70000000	19.45833333
acutifolia	-100.17777778	19.23138889
acutifolia	-98.75930000	19.06490000
acutifolia	-100.47000000	19.03000000
acutifolia	-98.75916667	20.74361111
acutifolia	-98.67444444	20.72111111
acutifolia	-98.58166667	20.64861111
acutifolia	-98.57777778	20.63666667
acutifolia	-99.00000000	20.50000000
acutifolia	-98.20388889	20.33111111
acutifolia	-98.31638889	20.31888889
acutifolia	-104.91611111	20.39750000
acutifolia	-104.80194444	20.26972222
acutifolia	-104.94305556	20.24027778
acutifolia	-103.28888889	19.74611111
acutifolia	-104.25000000	19.73000000
acutifolia	-104.23222222	19.64916667
acutifolia	-104.28333333	19.58750000
acutifolia	-104.26388889	19.58750000
acutifolia	-104.24333333	19.54916667
acutifolia	-104.26805556	19.54916667
acutifolia	-103.63900000	19.47400000
acutifolia	-103.43611111	19.46527778
acutifolia	-104.10000000	19.41000000
acutifolia	-100.25000000	19.85277778
acutifolia	-100.17611111	19.83805556
acutifolia	-101.53555556	19.69666667
acutifolia	-102.42666667	19.60722222
acutifolia	-101.81805556	19.46833333
acutifolia	-101.19138889	19.39916667
acutifolia	-102.07861111	19.35277778
acutifolia	-100.34444444	19.32333333
acutifolia	-103.14333333	18.78055556
acutifolia	-103.16000000	18.77000000
acutifolia	-99.16666667	19.08666667
acutifolia	-98.95055556	18.83861111
acutifolia	-104.98305556	21.50472222
acutifolia	-104.97888889	21.48500000
acutifolia	-98.08277778	20.21194444
acutifolia	-98.01666667	18.98333333
acutifolia	-98.01472222	18.97138889
acutifolia	-98.13666667	18.94944444
acutifolia	-98.13083333	18.93833333
acutifolia	-98.00000000	18.83333333
acutifolia	-97.38333333	18.66666667
acutifolia	-97.33861111	18.63138889
acutifolia	-97.30555556	18.61305556
acutifolia	-97.66388889	18.42555556
acutifolia	-98.25000000	19.33333333
acutifolia	-98.23333333	19.31666667
acutifolia	-98.21666667	19.31666667
acutifolia	-96.81861111	19.74138889
acutifolia	-96.84194444	19.69722222
acutifolia	-96.94944444	19.61138889
acutifolia	-96.95611111	19.58666667
acutifolia	-96.94527778	19.57833333
acutifolia	-96.94722222	19.55000000
acutifolia	-96.92750000	19.54000000
acutifolia	-96.97333333	19.52750000
acutifolia	-96.94861111	19.50944444
acutifolia	-96.99944444	19.50694444
acutifolia	-97.00833333	19.42138889
acutifolia	-97.03555556	19.33833333
acutifolia	-97.08638889	19.33111111
acutifolia	-97.04166667	19.32194444
acutifolia	-96.95833333	19.20000000
acutifolia	-96.96083333	19.16527778
acutifolia	-96.96611111	19.14583333
acutifolia	-97.03305556	19.11444444
acutifolia	-97.04472222	19.10861111
affinis	-97.25000000	19.79000000
affinis	-94.83666667	18.32000000
affinis	-96.98333333	18.15000000
affinis	-96.50000000	17.75000000
affinis	-96.50000000	17.50000000
affinis	-96.40000000	17.26666667
affinis	-94.93333333	18.31666667
affinis	-97.80000000	19.66666667
affinis	-97.75000000	19.83333333
affinis	-97.30000000	19.80000000
affinis	-94.83333333	18.21666667
affinis	-96.78333333	19.78333333
affinis	-96.81666667	19.76666667
affinis	-96.81666667	19.73333333
affinis	-96.92472222	19.72777778
affinis	-96.51666667	17.55000000
affinis	-97.60000000	19.91666667
affinis	-97.68333333	19.86666667
affinis	-97.58333333	19.86666667
affinis	-97.88333333	19.83333333
affinis	-97.50000000	19.83333333
affinis	-97.80000000	19.81666667
affinis	-97.29305556	19.80416667
affinis	-97.13333333	19.68333333
affinis	-97.06666667	19.46666667
affinis	-97.46666667	19.08333333
affinis	-97.90000000	20.03333333
affinis	-97.85000000	20.00000000
affinis	-98.01666667	19.80000000
affinis	-98.72916667	20.78555556
affinis	-98.71666667	20.63333333
affinis	-98.65000000	20.63333333
affinis	-98.46666667	20.60000000
affinis	-98.47777778	20.53361111
affinis	-98.49750000	20.45416667
affinis	-98.15000000	20.26666667
affinis	-98.55972222	20.21777778
affinis	-98.65305556	20.20694444
affinis	-98.66666667	20.16666667
affinis	-98.64777778	20.16861111
affinis	-98.64305556	20.18000000
affinis	-98.03333333	20.16666667
affinis	-98.36666667	23.15000000
affinis	-98.20555556	20.15833333
affinis	-98.66666667	20.13333333
affinis	-98.67166667	20.13916667
affinis	-98.16305556	20.04888889
affinis	-99.20000000	20.91666667
affinis	-99.20694444	20.92333333
affinis	-99.78333333	23.90000000
affinis	-99.53333333	22.90000000
affinis	-99.48333333	22.90000000
affinis	-99.33583333	20.79222222
affinis	-99.66666667	23.76666667
affinis	-99.15166667	20.76722222
affinis	-99.03444444	20.71361111
affinis	-99.01666667	24.63333333
affinis	-99.33333333	22.51666667
affinis	-99.80000000	24.50000000
affinis	-99.46666667	22.28333333
affinis	-99.13333333	21.28333333
affinis	-99.57861111	24.25250000
affinis	-99.55000000	21.23333333
affinis	-99.53333333	22.13333333
affinis	-99.66666667	21.11666667
affinis	-99.18333333	23.10000000
affinis	-100.56666667	21.93333333
affinis	-100.28333333	21.91666667
affinis	-100.18333333	24.88333333
affinis	-100.31666667	21.85000000
affinis	-100.48333333	22.81666667
affinis	-100.06666667	24.81666667
affinis	-100.00000000	24.61666667
affinis	-100.81666667	23.50000000
affinis	-100.60000000	22.05000000
affinis	-100.67555556	22.04972222
affinis	-100.51805600	21.48638900
affinis	-100.51666700	21.08444400
affinis	-99.32055600	21.04722200
affinis	-98.55305600	21.02972200
affinis	-99.35972200	21.01027800
affinis	-99.17666700	20.97333300
affinis	-99.20500000	20.92361100
affinis	-99.21694400	20.89972200
affinis	-98.70250000	20.88277800
affinis	-99.21055600	20.86888900
affinis	-99.19472200	20.86861100
affinis	-98.69944400	20.81500000
affinis	-98.72805600	20.80194400
affinis	-99.33611100	20.79194400
affinis	-98.66861100	20.78722200
affinis	-98.67805600	20.78694400
affinis	-99.14055600	20.78000000
affinis	-98.70611100	20.77388900
affinis	-99.24972200	20.77194400
affinis	-99.13333300	20.76583300
affinis	-98.71277800	20.75944400
affinis	-98.69000000	20.75666700
affinis	-98.69555600	20.75555600
affinis	-99.25500000	20.73805600
affinis	-99.38194400	20.73694400
affinis	-99.13583300	20.73250000
affinis	-99.03166700	20.69944400
affinis	-98.68694400	20.66416700
affinis	-98.67305600	20.66111100
affinis	-98.65388900	20.65916700
affinis	-98.69027800	20.65805600
affinis	-98.61194400	20.65583300
affinis	-98.65027800	20.65388900
affinis	-98.72694400	20.64777800
affinis	-98.71750000	20.64500000
affinis	-98.65305600	20.64388900
affinis	-98.68333300	20.61972200
affinis	-98.63472200	20.61805600
affinis	-98.64583300	20.58694400
affinis	-98.53805600	20.58694400
affinis	-99.00000000	20.50000000
affinis	-98.35027800	20.35111100
affinis	-98.37500000	20.34888900
affinis	-98.35638900	20.34861100
affinis	-98.37222200	20.33166700
affinis	-98.21027800	20.32750000
affinis	-98.20166700	20.32194400
affinis	-98.19138900	20.32166700
affinis	-98.26916700	20.29833300
affinis	-98.52305600	20.24916700
affinis	-98.56056100	20.21888900
affinis	-98.22138900	20.21861100
affinis	-98.73111100	20.21527800
affinis	-98.62083300	20.21444400
affinis	-98.79972200	20.20777800
affinis	-98.57416700	20.19611100
affinis	-98.70000000	20.18333300
affinis	-98.67305600	20.18277800
affinis	-98.64722200	20.18250000
affinis	-98.69444400	20.17333300
affinis	-98.79916700	20.17277800
affinis	-98.55611100	20.15611100
affinis	-98.20000000	20.15250000
affinis	-98.66500000	20.14944400
affinis	-98.68120800	20.14402500
affinis	-98.67166700	20.13944400
affinis	-98.18222200	20.13722200
affinis	-98.13638900	20.13166700
affinis	-98.31027800	20.04305600
affinis	-98.11611100	20.31111100
affinis	-98.14361100	20.29222200
affinis	-98.11138900	20.28166700
affinis	-98.20833300	20.24888900
affinis	-98.00638900	20.22944400
affinis	-98.14277800	20.03500000
affinis	-97.90138900	20.03111100
affinis	-97.84388900	19.99472200
affinis	-97.58000000	19.95722200
affinis	-97.92638900	19.95138900
affinis	-97.98055600	19.93361100
affinis	-97.96027800	19.93138900
affinis	-97.60777800	19.91916700
affinis	-97.48555600	19.89583300
affinis	-97.99222200	19.88833300
affinis	-97.58805600	19.86972200
affinis	-97.58333300	19.86666700
affinis	-97.69805600	19.86472200
affinis	-97.54333300	19.85055600
affinis	-97.56277800	19.83805600
affinis	-97.88333300	19.83333300
affinis	-97.75000000	19.83333300
affinis	-97.54694400	19.82694400
affinis	-97.58361100	19.81750000
affinis	-97.41527800	19.81694400
affinis	-97.43083300	19.81111100
affinis	-97.87222200	19.81083300
affinis	-98.02861100	19.80833300
affinis	-97.78111100	19.80361100
affinis	-97.80000000	19.80000000
affinis	-97.32416700	19.79527800
affinis	-97.51055600	19.77444400
affinis	-97.82222200	19.76388900
affinis	-97.54083300	19.75777800
affinis	-98.13333300	19.71666700
affinis	-98.16000000	19.71611100
affinis	-97.46666700	19.08333300
affinis	-99.17027800	21.53750000
affinis	-99.20500000	21.53555600
affinis	-99.73000000	21.42138900
affinis	-99.41777800	21.39833300
affinis	-99.12527800	21.39472200
affinis	-99.13777800	21.28750000
affinis	-99.57444400	21.26416700
affinis	-99.14638900	21.25583300
affinis	-99.65500000	21.23916700
affinis	-99.23111100	21.20833300
affinis	-99.08000000	21.20194400
affinis	-99.65777800	21.16305600
affinis	-99.80000000	21.15000000
affinis	-99.61222200	21.14527800
affinis	-99.67333300	21.12000000
affinis	-99.53750000	21.09500000
affinis	-99.91666700	21.00000000
affinis	-99.57169200	20.92946700
affinis	-99.59777800	20.91527800
affinis	-99.53527800	20.82666700
affinis	-98.35722200	20.63500000
affinis	-98.43944400	20.61416700
affinis	-98.40750000	20.59555600
affinis	-98.47250000	20.58694400
affinis	-98.50250000	20.57666700
affinis	-98.48583300	20.57527800
affinis	-98.50722200	20.56972200
affinis	-98.47777800	20.53361100
affinis	-98.49750000	20.45416700
affinis	-98.52500000	20.44166700
affinis	-98.34888900	20.43166700
affinis	-96.85416700	19.92722200
affinis	-96.77555600	19.86500000
affinis	-96.85638900	19.83722200
affinis	-97.30777800	19.80611100
affinis	-97.29305600	19.80416700
affinis	-97.29805600	19.80027800
affinis	-97.25972200	19.79250000
affinis	-96.82250000	19.79138900
affinis	-96.78333300	19.78333300
affinis	-96.79305600	19.77694400
affinis	-97.27166700	19.77638900
affinis	-96.82027800	19.77083300
affinis	-96.81666700	19.76666700
affinis	-96.78555600	19.76638900
affinis	-97.24388900	19.76305600
affinis	-97.24222200	19.75277800
affinis	-96.78916700	19.75222200
affinis	-96.78333300	19.75000000
affinis	-96.81861100	19.74138900
affinis	-96.82250000	19.74000000
affinis	-97.25944400	19.73722200
affinis	-96.92472200	19.72777800
affinis	-97.10555600	19.70111100
affinis	-97.13333300	19.68333300
affinis	-97.16666700	19.66666700
affinis	-96.87361100	19.65333300
affinis	-97.09861100	19.63500000
affinis	-96.93333300	19.61666700
affinis	-97.02638900	19.60944400
affinis	-96.96277800	19.59305600
affinis	-96.94611100	19.59027800
affinis	-97.00916700	19.58694400
affinis	-97.00000000	19.58333300
affinis	-96.96666700	19.55000000
affinis	-97.01972200	19.47000000
affinis	-97.00138900	19.45861100
affinis	-97.02250000	19.44000000
affinis	-97.00833300	19.42138900
affinis	-97.11833300	19.35500000
affinis	-97.29722200	18.85694400
affinis	-97.06333300	18.85027800
affinis	-97.10361100	18.84972200
affinis	-97.26666700	18.71972200
affinis	-97.25000000	18.70000000
affinis	-97.33805600	18.69972200
affinis	-97.11666700	18.60833300
affinis	-97.10305600	18.59361100
affinis	-95.28333300	18.58333300
affinis	-94.93944400	18.38750000
affinis	-94.88333300	18.35000000
affinis	-94.88333300	18.31666700
affinis	-94.83305600	18.28111100
affinis	-94.87277800	18.23250000
affinis	-99.17500000	23.00833333
affinis	-98.73055556	20.21388889
affinis	-98.68750000	20.17500000
affinis	-98.67083333	20.14166667
affinis	-100.38111111	25.20916667
affinis	-100.24361111	24.87222222
affinis	-100.83166667	23.51333333
affinis	-100.44027778	21.50166667
affinis	-100.23166667	24.86833333
affinis	-99.77166667	23.97333333
affinis	-99.65833333	21.15666667
affinis	-99.63166667	21.24166667
affinis	-99.62527778	21.13416667
affinis	-99.56444444	20.91527778
affinis	-99.47333333	21.22166667
affinis	-99.38333333	21.33333333
affinis	-99.32000000	21.18166667
affinis	-99.18805556	21.20638889
affinis	-99.14138889	21.23166667
affinis	-99.07555556	21.20777778
affinis	-98.62166667	20.62666667
affinis	-98.35500000	20.34833333
affinis	-96.82194444	19.77055556
affinis	-96.80166667	19.76833333
affinis	-96.78833333	19.75000000
affinis	-100.88333333	23.68333333
affinis	-100.51666667	21.08333333
affinis	-99.57444444	21.26416667
affinis	-99.36666667	20.73333333
affinis	-99.31666667	21.16666667
affinis	-99.28333333	21.05000000
affinis	-98.49888889	20.45555556
affinis	-98.48333333	20.53333333
affinis	-98.43638889	20.58500000
affinis	-98.41666667	20.63333333
affinis	-97.95833333	19.93333333
affinis	-97.54694444	19.82694444
affinis	-97.29722222	18.85694444
affinis	-97.28333333	19.85000000
affinis	-97.25972222	19.79305556
affinis	-97.25944444	19.73722222
affinis	-97.16666667	19.66666667
affinis	-97.13000000	19.43333333
affinis	-97.11833333	19.35500000
affinis	-97.10555556	19.70111111
affinis	-97.10361111	18.84972222
affinis	-97.10000000	19.61666667
affinis	-97.08333333	18.85000000
affinis	-97.02638889	19.60944444
affinis	-97.01972222	19.47000000
affinis	-97.00138889	19.45861111
affinis	-96.96666667	19.55000000
affinis	-96.94611111	19.59027778
affinis	-96.93333333	19.61666667
affinis	-96.86666667	19.65000000
affinis	-96.81666667	19.71666667
affinis	-96.81666667	19.78333333
affinis	-96.78916667	19.75222222
affinis	-96.75000000	19.78333333
affinis	-96.55000000	17.53333333
affinis	-95.28333333	18.58333333
affinis	-94.88333333	18.26666667
affinis	-94.88333333	18.30000000
affinis	-94.88333333	18.31666667
affinis	-94.88333333	18.33333333
affinis	-94.88333333	18.35000000
affinis	-94.85000000	18.28333333
albocincta	-108.95000000	27.58666667
albocincta	-107.59000000	27.12333333
albocincta	-108.97333333	26.98666667
albocincta	-107.35000000	25.64000000
albocincta	-107.35000000	25.34000000
albocincta	-107.53333333	25.71666667
albocincta	-107.33333333	25.60000000
albocincta	-107.90000000	27.21250000
albocincta	-108.97500000	26.98333333
albocincta	-108.47500000	28.16666667
albocincta	-108.45000000	28.16666667
albocincta	-109.23333333	28.40000000
albocincta	-109.03333333	28.33333333
albocincta	-108.95000000	27.58472222
albocincta	-108.93333333	28.96666667
albocincta	-109.33972222	28.46694444
albocincta	-109.16666667	28.50000000
albocincta	-108.48611111	28.16666667
albocincta	-109.37500000	28.13888889
albocincta	-108.81111111	28.30666667
albocincta	-107.56833333	25.65000000
albocincta	-107.55666667	25.80500000
albocincta	-106.61777778	25.47611111
albocincta	-105.84833333	24.54500000
aristata	-105.86666667	23.43333333
aristata	-105.21916667	21.83805556
aristata	-104.95027778	21.60027778
aristata	-104.91666667	21.53333333
aristata	-105.06888889	21.50472222
aristata	-104.41666667	21.48333333
aristata	-104.91666667	21.46666667
aristata	-104.78333333	21.41666667
aristata	-104.88333333	21.36666667
aristata	-103.62111111	20.83722222
aristata	-105.06444444	21.50472222
aristata	-104.96666667	20.81666667
aristata	-104.75000000	19.75000000
aristata	-104.93333333	19.61666667
aristata	-104.71666667	21.43333333
aristata	-104.96666667	20.36666667
aristata	-104.66666667	21.31666667
aristata	-104.63333333	21.26666667
aristata	-104.64611111	21.25555556
aristata	-104.61666667	21.25000000
aristata	-104.90000000	21.23333333
aristata	-104.76666667	20.23333333
aristata	-104.93333333	21.20000000
aristata	-104.95000000	21.15000000
aristata	-104.86666667	20.03333333
aristata	-105.14555556	21.95027778
aristata	-105.13333333	20.83333333
aristata	-105.01666667	21.56666667
aristata	-105.30000000	20.48333333
aristata	-105.13333333	21.45000000
aristata	-105.85000000	23.41666667
aristata	-105.30000000	20.41666667
aristata	-105.91666667	23.40000000
aristata	-105.90000000	23.40000000
aristata	-105.88333333	23.40000000
aristata	-105.93333333	23.38333333
aristata	-105.25000000	20.35000000
aristata	-105.31666667	20.31666667
aristata	-105.21666667	20.30000000
aristata	-106.40000000	23.23333333
aristata	-105.48000000	20.43833333
aristata	-105.40277778	20.38055556
aristata	-105.10000000	21.47833333
aristata	-105.08166667	21.57333333
aristata	-104.90166667	21.44333333
aristata	-104.90000000	21.23666667
aristata	-104.89500000	21.51666667
aristata	-104.82833333	20.80833333
aristata	-104.82000000	20.17833333
aristata	-104.80833333	22.06333333
aristata	-104.75000000	21.22166667
aristata	-104.64500000	21.99833333
aristata	-104.36666667	21.61666667
aristata	-102.62833333	20.30166667
aristata	-106.36808889	23.40943889
aristata	-105.04925556	21.52481667
aristata	-104.73166667	21.44166667
aristata	-105.15469167	21.43916111
aristata	-105.03454722	20.06329444
aristata	-104.96951111	21.16029444
aristata	-104.93944444	22.04305556
aristata	-104.77675000	20.23472778
aristata	-104.61666667	22.01666667
aristata	-105.37500000	20.26666667
aristata	-105.36666667	20.36666667
aristata	-105.25000000	20.39166667
aristata	-105.10000000	21.46666667
aristata	-104.85000000	20.75000000
aristata	-104.79722222	20.41666667
aristata	-104.78333333	20.51666667
aristata	-104.76666667	20.21666667
aristata	-104.58333333	21.33333333
aristata	-103.16666667	21.25000000
aristata	-102.76900000	21.82890000
benthamii	-93.62333333	16.19000000
benthamii	-92.32000000	15.55000000
benthamii	-92.30000000	15.45000000
benthamii	-92.34000000	15.43666667
benthamii	-92.30000000	15.40000000
benthamii	-92.25000000	15.33666667
benthamii	-92.09000000	15.11944444
benthamii	-91.87305556	15.06861111
benthamii	-91.90083333	15.00027778
benthamii	-91.73777778	14.97305556
benthamii	-91.86861111	14.94055556
benthamii	-91.52333333	14.73361111
benthamii	-92.70000000	15.69166667
benthamii	-92.23854167	15.43054167
