ID Seccion Especie pca_1 pca_2
0 Quercus oleoides 9.44977404295225 0.4375909252864831
1 Quercus glabrescens 0.06578752042253286 2.415762268666945
2 Quercus oleoides 10.21654809398775 4.246850526540659
3 Lobatae pinnativenulosa 1.6896343666003477 3.563667028819112
4 Quercus corrugata -1.1761406059192239 1.9910994587906823
5 Quercus glaucoides -0.726448664068386 -2.531841188768524
6 Quercus glaucoides 1.1654697977242021 0.8839490485985974
7 Quercus glaucoides 0.4148014388710394 1.0629818768612112
8 Quercus glaucoides 0.14787956116707374 1.3622497693672506
9 Quercus glaucoides -1.9573086786402745 -1.7540350897671515
10 Quercus glaucoides -2.1827817676490544 -1.5691465988842175
11 Quercus polymorpha 1.005858353039842 3.14091980115693
12 Quercus splendens 0.4150544615091078 1.062101015016816
13 Lobatae acutifolia -0.7377999474449879 1.671514810003996
14 Lobatae conzattii -0.8633544683766715 2.779441472198491
15 Lobatae crassipes 1.1654697977242021 0.8839490485985974
16 Lobatae elliptica 0.9630258434574827 3.1558651004862335
17 Lobatae pinnativenulosa 5.747940609420673 6.303125294731302
18 Lobatae sapotiifolia 9.105356026056604 -0.109177003253627
19 Lobatae sapotiifolia 9.02055576333638 -0.07182088604882468
20 Lobatae sartorii 5.837370337832572 6.268564931955189
21 Lobatae scytophylla -1.226009914292697 2.010882314908361
22 Lobatae trinitatis -1.2259916196814789 2.010829169143909
23 Lobatae trinitatis -1.207127532704321 2.0034552765454716
24 Quercus corrugata -1.4929491927528353 2.6839179869370886
25 Quercus glaucoides 0.05612929057473762 -2.553677153982735
26 Quercus glaucoides -0.6367122769025063 -2.808284817892518
27 Quercus glaucoides -0.7465878215268227 -2.168464679449999
28 Quercus lancifolia 5.878259832708914 5.046278029241231
29 Quercus magnoliifolia -0.7465878215268227 -2.168464679449999
30 Quercus polymorpha 5.862716140731637 5.283449600131401
31 Quercus polymorpha 4.071203299753618 5.045583933339503
32 Lobatae acherdophylla -0.10778311295492336 2.2068747853289796
33 Lobatae affinis -2.571228012708307 3.309571678317656
34 Lobatae candicans 1.38948506595444 3.2962688595089618
35 Lobatae crassifolia -2.5320470885178357 2.991158404642754
36 Lobatae delgadoana -1.4929491927528353 2.6839179869370886
37 Lobatae depressa -2.537633316552367 3.139068652626047
38 Lobatae depressa -2.5386091875840138 3.139458688268901
39 Lobatae elliptica 1.38948506595444 3.2962688595089618
40 Lobatae elliptica 0.6077414728097412 1.386242441192611
41 Lobatae elliptica -0.8531163764268627 2.3662702982534984
42 Lobatae laurina -1.4929491927528353 2.6839179869370886
43 Lobatae ocoteifolia -1.4929491927528353 2.6839179869370886
44 Lobatae pinnativenulosa 4.961056020843689 5.228901603379562
45 Lobatae pinnativenulosa 5.85277630417699 5.056256232286719
46 Lobatae pinnativenulosa 5.862716140731637 5.283449600131401
47 Lobatae sartorii 4.155287784022516 4.982410098756232
48 Lobatae sartorii 5.02105286847052 5.112760598644425
49 Lobatae sartorii 1.0305474092735485 1.1259305821991095
50 Lobatae scytophylla 2.195843238647967 3.320443653020403
51 Lobatae scytophylla 2.1959027753600973 3.320489447440151
52 Lobatae scytophylla -1.5339204634782642 2.646403092477681
53 Lobatae trinitatis -1.566113758971305 2.6580127791028105
54 Quercus glaucoides -1.1185677983708755 -2.076725566306093
55 Quercus magnoliifolia -1.1185677983708755 -2.076725566306093
56 Quercus obtusata -1.1185677983708755 -2.076725566306093
57 Quercus oleoides 9.178296694998522 0.18077552220689114
58 Lobatae candicans 2.0833674393763437 3.999801974873017
59 Lobatae castanea -1.1185677983708755 -2.076725566306093
60 Lobatae delgadoana -1.5774092392396815 2.680163861123659
61 Lobatae ocoteifolia -1.5774092392396815 2.680163861123659
62 Lobatae sartorii -1.5774092392396815 2.680163861123659
63 Lobatae scytophylla 1.4213754391056597 2.9249427921214632
64 Quercus corrugata -0.9256593464961452 2.7394195183738015
65 Quercus frutex -3.7634810648563457 0.8589313046274336
66 Quercus glaucoides -2.0179708160830483 -1.5696591830801931
67 Quercus glaucoides -2.017998257999875 -1.5695794644335153
68 Quercus greggii -3.7634810648563457 0.8589313046274336
69 Quercus magnoliifolia 3.9263640035649985 -5.042552877828108
70 Quercus obtusata -3.1657337764655455 -0.3847128080094438
71 Quercus obtusata -3.68258682874902 0.8271798617935233
72 Quercus sebifera -3.68258682874902 0.8271798617935233
73 Lobatae castanea -2.436526172896368 -1.2789507945120935
74 Lobatae elliptica -0.5461206548197954 2.3190128733577517
75 Lobatae grahamii 0.051951500804645584 -2.6037905717215972
76 Lobatae sapotiifolia 9.516042423983126 0.9181842340781776
77 Lobatae sartorii 2.0743286905175626 0.6393295436685019
78 Quercus glaucescens 2.2750756168651707 2.2489185658714854
79 Quercus glaucoides -3.4030037805882944 -0.8897541710263849
80 Quercus glaucoides -2.0448659483178675 -2.0070827073782214
81 Quercus glaucoides -2.123389127644556 -1.8069416587693312
82 Quercus glaucoides -2.3112939403075705 -1.5928755846775209
83 Quercus lancifolia 4.782016470106501 3.7175461911494585
84 Quercus oleoides 4.782016470106501 3.7175461911494585
85 Quercus oleoides 10.066528773517323 2.1050044939575914
86 Quercus sebifera -3.575777609916998 0.9059165704572988
87 Lobatae acherdophylla 1.553808939264058 2.8470977774304274
88 Lobatae acutifolia 6.767862025074233 2.037042748097109
89 Lobatae castanea -0.6960306316893756 -2.0111148923933815
90 Lobatae elliptica 4.293812378497818 0.5771128556980201
91 Lobatae elliptica 0.1631852770756356 2.4576683102583656
92 Lobatae grahamii -3.4703322495090436 0.20632769559491962
